"Consumptieve bestedingen";"Perioden";"Waarde/Indexcijfers (2015=100)"
"Binnenlandse consumptie huishoudens";"2002 november";"    80.4"
"Binnenlandse consumptie huishoudens";"2002 december";"    82.2"
"Binnenlandse consumptie huishoudens";"2003 januari";"    83.5"
"Binnenlandse consumptie huishoudens";"2003 februari";"    78.8"
"Binnenlandse consumptie huishoudens";"2003 maart";"    83.2"
"Binnenlandse consumptie huishoudens";"2003 april";"    81.3"
"Binnenlandse consumptie huishoudens";"2003 mei";"    84.8"
"Binnenlandse consumptie huishoudens";"2003 juni";"    80.7"
"Binnenlandse consumptie huishoudens";"2003 juli";"    81.1"
"Binnenlandse consumptie huishoudens";"2003 augustus";"    80.5"
"Binnenlandse consumptie huishoudens";"2003 september";"    80.6"
"Binnenlandse consumptie huishoudens";"2003 oktober";"    84.0"
"Binnenlandse consumptie huishoudens";"2003 november";"    80.8"
"Binnenlandse consumptie huishoudens";"2003 december";"    83.2"
"Binnenlandse consumptie huishoudens";"2004 januari";"    85.3"
"Binnenlandse consumptie huishoudens";"2004 februari";"    79.8"
"Binnenlandse consumptie huishoudens";"2004 maart";"    84.8"
"Binnenlandse consumptie huishoudens";"2004 april";"    84.1"
"Binnenlandse consumptie huishoudens";"2004 mei";"    85.0"
"Binnenlandse consumptie huishoudens";"2004 juni";"    84.4"
"Binnenlandse consumptie huishoudens";"2004 juli";"    84.6"
"Binnenlandse consumptie huishoudens";"2004 augustus";"    81.3"
"Binnenlandse consumptie huishoudens";"2004 september";"    83.1"
"Binnenlandse consumptie huishoudens";"2004 oktober";"    84.6"
"Binnenlandse consumptie huishoudens";"2004 november";"    82.2"
"Binnenlandse consumptie huishoudens";"2004 december";"    86.3"
"Binnenlandse consumptie huishoudens";"2005 januari";"    85.3"
"Binnenlandse consumptie huishoudens";"2005 februari";"    80.9"
"Binnenlandse consumptie huishoudens";"2005 maart";"    87.6"
"Binnenlandse consumptie huishoudens";"2005 april";"    85.6"
"Binnenlandse consumptie huishoudens";"2005 mei";"    86.0"
"Binnenlandse consumptie huishoudens";"2005 juni";"    87.3"
"Binnenlandse consumptie huishoudens";"2005 juli";"    86.2"
"Binnenlandse consumptie huishoudens";"2005 augustus";"    84.9"
"Binnenlandse consumptie huishoudens";"2005 september";"    86.6"
"Binnenlandse consumptie huishoudens";"2005 oktober";"    87.0"
"Binnenlandse consumptie huishoudens";"2005 november";"    86.3"
"Binnenlandse consumptie huishoudens";"2005 december";"    90.0"
"Binnenlandse consumptie huishoudens";"2006 januari";"    87.7"
"Binnenlandse consumptie huishoudens";"2006 februari";"    83.2"
"Binnenlandse consumptie huishoudens";"2006 maart";"    90.6"
"Binnenlandse consumptie huishoudens";"2006 april";"    87.7"
"Binnenlandse consumptie huishoudens";"2006 mei";"    90.3"
"Binnenlandse consumptie huishoudens";"2006 juni";"    89.8"
"Binnenlandse consumptie huishoudens";"2006 juli";"    87.2"
"Binnenlandse consumptie huishoudens";"2006 augustus";"    88.4"
"Binnenlandse consumptie huishoudens";"2006 september";"    88.7"
"Binnenlandse consumptie huishoudens";"2006 oktober";"    87.9"
"Binnenlandse consumptie huishoudens";"2006 november";"    88.1"
"Binnenlandse consumptie huishoudens";"2006 december";"    91.0"
"Binnenlandse consumptie huishoudens";"2007 januari";"    90.4"
"Binnenlandse consumptie huishoudens";"2007 februari";"    86.4"
"Binnenlandse consumptie huishoudens";"2007 maart";"    94.6"
"Binnenlandse consumptie huishoudens";"2007 april";"    89.9"
"Binnenlandse consumptie huishoudens";"2007 mei";"    92.9"
"Binnenlandse consumptie huishoudens";"2007 juni";"    93.6"
"Binnenlandse consumptie huishoudens";"2007 juli";"    90.8"
"Binnenlandse consumptie huishoudens";"2007 augustus";"    91.5"
"Binnenlandse consumptie huishoudens";"2007 september";"    91.4"
"Binnenlandse consumptie huishoudens";"2007 oktober";"    93.6"
"Binnenlandse consumptie huishoudens";"2007 november";"    92.8"
"Binnenlandse consumptie huishoudens";"2007 december";"    95.4"
"Binnenlandse consumptie huishoudens";"2008 januari";"    94.1"
"Binnenlandse consumptie huishoudens";"2008 februari";"    92.7"
"Binnenlandse consumptie huishoudens";"2008 maart";"    95.6"
"Binnenlandse consumptie huishoudens";"2008 april";"    94.7"
"Binnenlandse consumptie huishoudens";"2008 mei";"    98.4"
"Binnenlandse consumptie huishoudens";"2008 juni";"    94.7"
"Binnenlandse consumptie huishoudens";"2008 juli";"    94.4"
"Binnenlandse consumptie huishoudens";"2008 augustus";"    93.8"
"Binnenlandse consumptie huishoudens";"2008 september";"    93.6"
"Binnenlandse consumptie huishoudens";"2008 oktober";"    95.3"
"Binnenlandse consumptie huishoudens";"2008 november";"    91.4"
"Binnenlandse consumptie huishoudens";"2008 december";"    95.7"
"Binnenlandse consumptie huishoudens";"2009 januari";"    94.1"
"Binnenlandse consumptie huishoudens";"2009 februari";"    88.6"
"Binnenlandse consumptie huishoudens";"2009 maart";"    92.1"
"Binnenlandse consumptie huishoudens";"2009 april";"    90.8"
"Binnenlandse consumptie huishoudens";"2009 mei";"    92.5"
"Binnenlandse consumptie huishoudens";"2009 juni";"    90.6"
"Binnenlandse consumptie huishoudens";"2009 juli";"    91.6"
"Binnenlandse consumptie huishoudens";"2009 augustus";"    88.5"
"Binnenlandse consumptie huishoudens";"2009 september";"    89.9"
"Binnenlandse consumptie huishoudens";"2009 oktober";"    92.9"
"Binnenlandse consumptie huishoudens";"2009 november";"    88.2"
"Binnenlandse consumptie huishoudens";"2009 december";"    94.7"
"Binnenlandse consumptie huishoudens";"2010 januari";"    92.7"
"Binnenlandse consumptie huishoudens";"2010 februari";"    87.8"
"Binnenlandse consumptie huishoudens";"2010 maart";"    94.2"
"Binnenlandse consumptie huishoudens";"2010 april";"    92.7"
"Binnenlandse consumptie huishoudens";"2010 mei";"    93.5"
"Binnenlandse consumptie huishoudens";"2010 juni";"    93.4"
"Binnenlandse consumptie huishoudens";"2010 juli";"    93.4"
"Binnenlandse consumptie huishoudens";"2010 augustus";"    90.5"
"Binnenlandse consumptie huishoudens";"2010 september";"    93.1"
"Binnenlandse consumptie huishoudens";"2010 oktober";"    94.5"
"Binnenlandse consumptie huishoudens";"2010 november";"    92.4"
"Binnenlandse consumptie huishoudens";"2010 december";"    98.0"
"Binnenlandse consumptie huishoudens";"2011 januari";"    94.7"
"Binnenlandse consumptie huishoudens";"2011 februari";"    90.5"
"Binnenlandse consumptie huishoudens";"2011 maart";"    97.0"
"Binnenlandse consumptie huishoudens";"2011 april";"    96.2"
"Binnenlandse consumptie huishoudens";"2011 mei";"    96.4"
"Binnenlandse consumptie huishoudens";"2011 juni";"    96.0"
"Binnenlandse consumptie huishoudens";"2011 juli";"    95.3"
"Binnenlandse consumptie huishoudens";"2011 augustus";"    93.0"
"Binnenlandse consumptie huishoudens";"2011 september";"    94.2"
"Binnenlandse consumptie huishoudens";"2011 oktober";"    94.6"
"Binnenlandse consumptie huishoudens";"2011 november";"    93.9"
"Binnenlandse consumptie huishoudens";"2011 december";"    99.2"
"Binnenlandse consumptie huishoudens";"2012 januari";"    94.9"
"Binnenlandse consumptie huishoudens";"2012 februari";"    92.2"
"Binnenlandse consumptie huishoudens";"2012 maart";"    98.1"
"Binnenlandse consumptie huishoudens";"2012 april";"    93.9"
"Binnenlandse consumptie huishoudens";"2012 mei";"    97.4"
"Binnenlandse consumptie huishoudens";"2012 juni";"    97.2"
"Binnenlandse consumptie huishoudens";"2012 juli";"    93.6"
"Binnenlandse consumptie huishoudens";"2012 augustus";"    93.5"
"Binnenlandse consumptie huishoudens";"2012 september";"    94.0"
"Binnenlandse consumptie huishoudens";"2012 oktober";"    94.4"
"Binnenlandse consumptie huishoudens";"2012 november";"    93.6"
"Binnenlandse consumptie huishoudens";"2012 december";"    98.8"
"Binnenlandse consumptie huishoudens";"2013 januari";"    96.4"
"Binnenlandse consumptie huishoudens";"2013 februari";"    91.4"
"Binnenlandse consumptie huishoudens";"2013 maart";"    98.8"
"Binnenlandse consumptie huishoudens";"2013 april";"    95.0"
"Binnenlandse consumptie huishoudens";"2013 mei";"    98.7"
"Binnenlandse consumptie huishoudens";"2013 juni";"    96.4"
"Binnenlandse consumptie huishoudens";"2013 juli";"    96.6"
"Binnenlandse consumptie huishoudens";"2013 augustus";"    95.9"
"Binnenlandse consumptie huishoudens";"2013 september";"    94.3"
"Binnenlandse consumptie huishoudens";"2013 oktober";"    96.3"
"Binnenlandse consumptie huishoudens";"2013 november";"    96.0"
"Binnenlandse consumptie huishoudens";"2013 december";"   100.5"
"Binnenlandse consumptie huishoudens";"2014 januari";"    98.3"
"Binnenlandse consumptie huishoudens";"2014 februari";"    92.9"
"Binnenlandse consumptie huishoudens";"2014 maart";"    98.3"
"Binnenlandse consumptie huishoudens";"2014 april";"    97.3"
"Binnenlandse consumptie huishoudens";"2014 mei";"   100.5"
"Binnenlandse consumptie huishoudens";"2014 juni";"    97.1"
"Binnenlandse consumptie huishoudens";"2014 juli";"    98.1"
"Binnenlandse consumptie huishoudens";"2014 augustus";"    97.1"
"Binnenlandse consumptie huishoudens";"2014 september";"    95.4"
"Binnenlandse consumptie huishoudens";"2014 oktober";"    98.4"
"Binnenlandse consumptie huishoudens";"2014 november";"    96.2"
"Binnenlandse consumptie huishoudens";"2014 december";"   102.7"
"Binnenlandse consumptie huishoudens";"2015 januari";"    99.7"
"Binnenlandse consumptie huishoudens";"2015 februari";"    94.2"
"Binnenlandse consumptie huishoudens";"2015 maart";"    99.2"
"Binnenlandse consumptie huishoudens";"2015 april";"    99.9"
"Binnenlandse consumptie huishoudens";"2015 mei";"   101.6"
"Binnenlandse consumptie huishoudens";"2015 juni";"   101.0"
"Binnenlandse consumptie huishoudens";"2015 juli";"   102.0"
"Binnenlandse consumptie huishoudens";"2015 augustus";"    98.6"
"Binnenlandse consumptie huishoudens";"2015 september";"    99.5"
"Binnenlandse consumptie huishoudens";"2015 oktober";"   101.8"
"Binnenlandse consumptie huishoudens";"2015 november";"    97.1"
"Binnenlandse consumptie huishoudens";"2015 december";"   105.3"
"Binnenlandse consumptie huishoudens";"2016 januari";"   100.1"
"Binnenlandse consumptie huishoudens";"2016 februari";"    96.8"
"Binnenlandse consumptie huishoudens";"2016 maart";"   103.1"
"Binnenlandse consumptie huishoudens";"2016 april";"   101.4"
"Binnenlandse consumptie huishoudens";"2016 mei";"   102.4"
"Binnenlandse consumptie huishoudens";"2016 juni";"   102.9"
"Binnenlandse consumptie huishoudens";"2016 juli";"   103.8"
"Binnenlandse consumptie huishoudens";"2016 augustus";"   100.8"
"Binnenlandse consumptie huishoudens";"2016 september";"   101.0"
"Binnenlandse consumptie huishoudens";"2016 oktober";"   102.3"
"Binnenlandse consumptie huishoudens";"2016 november";"   101.1"
"Binnenlandse consumptie huishoudens";"2016 december";"   109.0"
"Binnenlandse consumptie huishoudens";"2017 januari";"   104.3"
"Binnenlandse consumptie huishoudens";"2017 februari";"    98.9"
"Binnenlandse consumptie huishoudens";"2017 maart";"   106.3"
"Binnenlandse consumptie huishoudens";"2017 april";"   104.9"
"Binnenlandse consumptie huishoudens";"2017 mei";"   107.4"
"Binnenlandse consumptie huishoudens";"2017 juni";"   107.1"
"Binnenlandse consumptie huishoudens";"2017 juli";"   107.1"
"Binnenlandse consumptie huishoudens";"2017 augustus";"   105.1"
"Binnenlandse consumptie huishoudens";"2017 september";"   106.3"
"Binnenlandse consumptie huishoudens";"2017 oktober";"   104.4"
"Binnenlandse consumptie huishoudens";"2017 november";"   105.5"
"Binnenlandse consumptie huishoudens";"2017 december";"   111.1"
"Binnenlandse consumptie huishoudens";"2018 januari";"   109.1"
"Binnenlandse consumptie huishoudens";"2018 februari";"   104.0"
"Binnenlandse consumptie huishoudens";"2018 maart";"   112.2"
"Binnenlandse consumptie huishoudens";"2018 april";"   108.9"
"Binnenlandse consumptie huishoudens";"2018 mei";"   112.8"
"Binnenlandse consumptie huishoudens";"2018 juni";"   112.7"
"Binnenlandse consumptie huishoudens";"2018 juli";"   112.1"
"Binnenlandse consumptie huishoudens";"2018 augustus";"   110.7"
"Binnenlandse consumptie huishoudens";"2018 september";"   109.4"
"Binnenlandse consumptie huishoudens";"2018 oktober";"   110.1"
"Binnenlandse consumptie huishoudens";"2018 november";"   110.5"
"Binnenlandse consumptie huishoudens";"2018 december";"   114.7"
"Binnenlandse consumptie huishoudens";"2019 januari*";"   113.7"
"Binnenlandse consumptie huishoudens";"2019 februari*";"   107.8"
"Binnenlandse consumptie huishoudens";"2019 maart*";"   115.4"
"Binnenlandse consumptie huishoudens";"2019 april*";"   114.2"
"Binnenlandse consumptie huishoudens";"2019 mei*";"   118.3"
"Binnenlandse consumptie huishoudens";"2019 juni*";"   115.0"
"Binnenlandse consumptie huishoudens";"2019 juli*";"   116.3"
"Binnenlandse consumptie huishoudens";"2019 augustus*";"   114.7"
"Binnenlandse consumptie huishoudens";"2019 september*";"   112.8"
"Binnenlandse consumptie huishoudens";"2019 oktober*";"   115.0"
"Binnenlandse consumptie huishoudens";"2019 november*";"   114.7"
"Binnenlandse consumptie huishoudens";"2019 december*";"   120.1"
"Binnenlandse consumptie huishoudens";"2020 januari*";"   117.2"
"Binnenlandse consumptie huishoudens";"2020 februari*";"   113.5"
"Binnenlandse consumptie huishoudens";"2020 maart*";"   107.4"
"Binnenlandse consumptie huishoudens";"2020 april*";"    96.6"
"Binnenlandse consumptie huishoudens";"2020 mei*";"   104.5"
"Binnenlandse consumptie huishoudens";"2020 juni*";"   108.9"
"Binnenlandse consumptie huishoudens";"2020 juli*";"   116.0"
"Binnenlandse consumptie huishoudens";"2020 augustus*";"   111.0"
"Binnenlandse consumptie huishoudens";"2020 september*";"   111.2"
"Binnenlandse consumptie huishoudens";"2020 oktober*";"   110.2"
"Binnenlandse consumptie huishoudens";"2020 november*";"   107.0"
"Binnenlandse consumptie huishoudens";"2020 december*";"   109.7"
"Binnenlandse consumptie huishoudens";"2021 januari*";"   103.8"
"Binnenlandse consumptie huishoudens";"2021 februari*";"   101.1"
"Binnenlandse consumptie huishoudens";"2021 maart*";"   110.9"
"Binnenlandse consumptie huishoudens";"2021 april*";"   111.5"
"Binnenlandse consumptie huishoudens";"2021 mei*";"   118.3"
"Binnenlandse consumptie huishoudens";"2021 juni*";"   120.2"
"Binnenlandse consumptie huishoudens";"2021 juli*";"   121.7"
"Binnenlandse consumptie huishoudens";"2021 augustus*";"   117.7"
"Binnenlandse consumptie huishoudens";"2021 september*";"   119.8"
"Binnenlandse consumptie huishoudens";"2021 oktober*";"   123.3"
"Binnenlandse consumptie huishoudens";"2021 november*";"   122.1"
"Binnenlandse consumptie huishoudens";"2021 december*";"   121.3"
"Binnenlandse consumptie huishoudens";"2022 januari*";"   120.2"
"Binnenlandse consumptie huishoudens";"2022 februari*";"   119.6"
